Starting fitting with 32 workers on previous 1000 parameter combinations...

=== !200! Iterations Results ===
Total experiments: 1000

Top 1000 results by MeanFitness:
1000×11 DataFrame
  Row │ NewLayer   RemoveLayer  NewNeuron    RemoveNeuron  NewRule      RemoveRule  NewInput    RemoveInput  MeanFitness  MaxFitness  SuccessfulSimulations
      │ Float64    Float64      Float64      Float64       Float64      Float64     Float64     Float64      Float64      Float64     UInt16
──────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  177 │ 0.184078   0.173307     0.165656      0.0          0.104549      0.095052   0.0272221    0.032537       0.883333     0.96875                      0
  178 │ 0.144535   0.00630044   0.109578      0.0712576    0.170389      0.163626   0.0858654    0.0697953      0.883333     0.9375                       0
  179 │ 0.0312443  0.0          0.160932      0.0348976    0.112865      0.155097   0.0382547    0.0546044      0.883333     0.9375                       0
  180 │ 0.175653   0.0556205    0.0848589     0.0169707    0.147099      0.145279   0.0215528    0.0268303      0.883333     0.96875                      0
  181 │ 0.145398   0.0          0.129082      0.0599347    0.162229      0.167466   0.0940067    0.0832136      0.883333     0.9375                       0
  182 │ 0.190012   0.069578     0.0315387     0.0073685    0.12795       0.0924641  0.0775107    0.0376953      0.883333     0.96875                      0
  183 │ 0.124129   0.041817     0.194434      0.184439     0.161319      0.193444   0.145456     0.0744867      0.883333     0.96875                      0
  184 │ 0.166508   0.0541574    0.0953686     0.0376814    0.152882      0.179767   0.0319441    0.0536777      0.883333     0.9375                       0
  185 │ 0.14848    0.0          0.109891      0.0382874    0.147264      0.157654   0.0890395    0.0722591      0.88125      0.9375                       0
  186 │ 0.138458   0.0          0.109342      0.0479307    0.148368      0.155987   0.0848484    0.0652365      0.88125      0.9375                       0
  187 │ 0.140077   0.0          0.125184      0.0530519    0.147628      0.147505   0.0606261    0.0316266      0.88125      0.9375                       0
  188 │ 0.0276156  0.00247266   0.168471      0.0294303    0.107655      0.192537   0.0433071    0.0514015      0.88125      0.96875                      0
  189 │ 0.192767   0.184798     0.181548      0.00982158   0.112389      0.0784446  0.0402925    0.0602906      0.88125      0.9375                       0
  190 │ 0.142491   0.0          0.111644      0.053731     0.153932      0.167854   0.0862512    0.0672375      0.88125      0.9375                       0
  191 │ 0.129249   0.00798079   0.143367      0.0659535    0.132592      0.165006   0.0552977    0.0346585      0.88125      1.0                          1
  192 │ 0.117369   0.0          0.13261       0.0543206    0.119396      0.153666   0.0618295    0.0313503      0.88125      0.9375                       0
  193 │ 0.165153   0.093787     0.167263      0.0          0.195706      0.142455   0.0910868    0.0997598      0.88125      0.9375                       0
  194 │ 0.0869063  0.0593559    0.174581      0.0144885    0.154531      0.101025   0.07159      0.0365737      0.88125      0.9375                       0
  195 │ 0.182059   0.153505     0.159799      0.015896     0.101795      0.0859781  0.023422     0.0356596      0.88125      0.90625                      0
  196 │ 0.168521   0.117593     0.0433725     0.0926697    0.158044      0.0604058  0.0735714    0.0532384      0.88125      0.96875                      0
  197 │ 0.177278   0.0712333    0.199198      0.00900646   0.185174      0.159009   0.183503     0.0578277      0.88125      0.90625                      0
  198 │ 0.132746   0.0          0.104088      0.037554     0.15402       0.155782   0.0976463    0.082578       0.88125      0.9375                       0
  199 │ 0.136827   0.0          0.123509      0.049886     0.158105      0.151881   0.0516997    0.0704561      0.88125      0.9375                       0
  200 │ 0.166758   0.0570362    0.0826717     0.0442784    0.160278      0.190003   0.0289798    0.0617076      0.88125      0.9375                       0
